Stock ID,Year,Genus,Species,Predicted Value,Standard Error,LCI,UCI,Relative to Mean,
AFSC_alutus_BSAI,1960,Sebastes,alutus,0.116,0.235,-0.353,0.585,Above,
AFSC_alutus_BSAI,1970,Sebastes,alutus,0.024,0.162,-0.299,0.348,Above,
AFSC_alutus_BSAI,1980,Sebastes,alutus,-0.199,0.101,-0.401,0.003,Below,
AFSC_alutus_BSAI,1990,Sebastes,alutus,-0.179,0.090,-0.359,0.001,Below,
AFSC_alutus_BSAI,2000,Sebastes,alutus,-0.093,0.087,-0.268,0.082,Above,
AFSC_alutus_BSAI,latest,Sebastes,alutus,0.448,0.087,0.274,0.623,Above,
AFSC_aspera_BSAI,1980,Limada,aspera,-0.199,0.101,-0.401,0.003,Below,
AFSC_aspera_BSAI,1990,Limada,aspera,-0.179,0.090,-0.359,0.001,Above,
AFSC_aspera_BSAI,2000,Limada,aspera,-0.093,0.087,-0.268,0.082,Above,
AFSC_aspera_BSAI,latest,Limada,aspera,0.448,0.087,0.274,0.623,Above,
AFSC_chalcogramma_AI,1980,Theragra,chalcogramma,-0.199,0.101,-0.401,0.003,Below,
AFSC_chalcogramma_AI,1990,Theragra,chalcogramma,-0.179,0.090,-0.359,0.001,Above,
AFSC_chalcogramma_AI,2000,Theragra,chalcogramma,-0.093,0.087,-0.268,0.082,Above,
AFSC_chalcogramma_AI,latest,Theragra,chalcogramma,0.448,0.087,0.274,0.623,Below,
AFSC_chalcogramma_ESB,1970,Theragra,chalcogramma,0.024,0.162,-0.299,0.348,Below,
AFSC_chalcogramma_ESB,1980,Theragra,chalcogramma,-0.199,0.101,-0.401,0.003,Below,
AFSC_chalcogramma_ESB,1990,Theragra,chalcogramma,-0.179,0.090,-0.359,0.001,Above,
AFSC_chalcogramma_ESB,2000,Theragra,chalcogramma,-0.093,0.087,-0.268,0.082,Above,
AFSC_chalcogramma_ESB,latest,Theragra,chalcogramma,0.448,0.087,0.274,0.623,Above,
AFSC_chalcogramma_GOA,1980,Theragra,chalcogramma,-0.199,0.101,-0.401,0.003,Below,
AFSC_chalcogramma_GOA,1990,Theragra,chalcogramma,-0.179,0.090,-0.359,0.001,Above,
AFSC_chalcogramma_GOA,2000,Theragra,chalcogramma,-0.093,0.087,-0.268,0.082,Above,
AFSC_chalcogramma_GOA,latest,Theragra,chalcogramma,0.448,0.087,0.274,0.623,Above,
AFSC_macrocephalus_AI,1980,Gadus,macrocephalus,-0.199,0.101,-0.401,0.003,Above,
AFSC_macrocephalus_AI,1990,Gadus,macrocephalus,-0.179,0.090,-0.359,0.001,Below,
AFSC_macrocephalus_AI,2000,Gadus,macrocephalus,-0.093,0.087,-0.268,0.082,Below,
AFSC_macrocephalus_AI,latest,Gadus,macrocephalus,0.448,0.087,0.274,0.623,Below,
AFSC_macrocephalus_ESB,1980,Gadus,macrocephalus,-0.199,0.101,-0.401,0.003,Below,
AFSC_macrocephalus_ESB,1990,Gadus,macrocephalus,-0.179,0.090,-0.359,0.001,Above,
AFSC_macrocephalus_ESB,2000,Gadus,macrocephalus,-0.093,0.087,-0.268,0.082,Above,
AFSC_macrocephalus_ESB,latest,Gadus,macrocephalus,0.448,0.087,0.274,0.623,Above,
AFSC_macrocephalus_GOA,1980,Gadus,macrocephalus,-0.199,0.101,-0.401,0.003,Above,
AFSC_macrocephalus_GOA,1990,Gadus,macrocephalus,-0.179,0.090,-0.359,0.001,Above,
AFSC_macrocephalus_GOA,2000,Gadus,macrocephalus,-0.093,0.087,-0.268,0.082,Below,
AFSC_macrocephalus_GOA,latest,Gadus,macrocephalus,0.448,0.087,0.274,0.623,Below,
AFSC_monopterygius_BSAI,1980,Pleurogrammus,monopterygius,-0.199,0.101,-0.401,0.003,Above,
AFSC_monopterygius_BSAI,1990,Pleurogrammus,monopterygius,-0.179,0.090,-0.359,0.001,Below,
AFSC_monopterygius_BSAI,2000,Pleurogrammus,monopterygius,-0.093,0.087,-0.268,0.082,Below,
AFSC_monopterygius_BSAI,latest,Pleurogrammus,monopterygius,0.448,0.087,0.274,0.623,Above,
AFSC_polyxystra_BSAI-Females,1980,Lepidopsetta,polyxystra,-0.199,0.101,-0.401,0.003,Below,
AFSC_polyxystra_BSAI-Females,1990,Lepidopsetta,polyxystra,-0.179,0.090,-0.359,0.001,Below,
AFSC_polyxystra_BSAI-Females,2000,Lepidopsetta,polyxystra,-0.093,0.087,-0.268,0.082,Above,
AFSC_polyxystra_BSAI-Females,latest,Lepidopsetta,polyxystra,0.448,0.087,0.274,0.623,Above,
AFSC_polyxystra_BSAI-Males,1980,Lepidopsetta,polyxystra,-0.199,0.101,-0.401,0.003,Below,
AFSC_polyxystra_BSAI-Males,1990,Lepidopsetta,polyxystra,-0.179,0.090,-0.359,0.001,Below,
AFSC_polyxystra_BSAI-Males,2000,Lepidopsetta,polyxystra,-0.093,0.087,-0.268,0.082,Above,
AFSC_polyxystra_BSAI-Males,latest,Lepidopsetta,polyxystra,0.448,0.087,0.274,0.623,Above,
AFSC_quadrituberculatus_BASI-Females,1980,Pleuronectes,quadrituberculatus,-0.199,0.101,-0.401,0.003,Below,
AFSC_quadrituberculatus_BASI-Females,1990,Pleuronectes,quadrituberculatus,-0.179,0.090,-0.359,0.001,Above,
AFSC_quadrituberculatus_BASI-Females,2000,Pleuronectes,quadrituberculatus,-0.093,0.087,-0.268,0.082,Above,
AFSC_quadrituberculatus_BASI-Females,latest,Pleuronectes,quadrituberculatus,0.448,0.087,0.274,0.623,Above,
AFSC_quadrituberculatus_BSAI-Males,1980,Pleuronectes,quadrituberculatus,-0.199,0.101,-0.401,0.003,Below,
AFSC_quadrituberculatus_BSAI-Males,1990,Pleuronectes,quadrituberculatus,-0.179,0.090,-0.359,0.001,Above,
AFSC_quadrituberculatus_BSAI-Males,2000,Pleuronectes,quadrituberculatus,-0.093,0.087,-0.268,0.082,Above,
AFSC_quadrituberculatus_BSAI-Males,latest,Pleuronectes,quadrituberculatus,0.448,0.087,0.274,0.623,Below,
AFSC_stomas_BSAI-Females,1980,Sebastes,stomas,-0.199,0.101,-0.401,0.003,Above,
AFSC_stomas_BSAI-Females,1990,Sebastes,stomas,-0.179,0.090,-0.359,0.001,Below,
AFSC_stomas_BSAI-Females,2000,Sebastes,stomas,-0.093,0.087,-0.268,0.082,Below,
AFSC_stomas_BSAI-Females,latest,Sebastes,stomas,0.448,0.087,0.274,0.623,Above,
AFSC_stomas_BSAI-Males,1980,Atheresthes,stomas,-0.199,0.101,-0.401,0.003,Above,
AFSC_stomas_BSAI-Males,1990,Atheresthes,stomas,-0.179,0.090,-0.359,0.001,Below,
AFSC_stomas_BSAI-Males,2000,Atheresthes,stomas,-0.093,0.087,-0.268,0.082,Below,
AFSC_stomas_BSAI-Males,latest,Atheresthes,stomas,0.448,0.087,0.274,0.623,Below,
CERT/TRAC_aeglefinus_GB,1970,Melanogrammus,aeglefinus,0.024,0.162,-0.299,0.348,Below,
CERT/TRAC_aeglefinus_GB,1980,Melanogrammus,aeglefinus,-0.199,0.101,-0.401,0.003,Below,
CERT/TRAC_aeglefinus_GB,1990,Melanogrammus,aeglefinus,-0.179,0.090,-0.359,0.001,Below,
CERT/TRAC_aeglefinus_GB,2000,Melanogrammus,aeglefinus,-0.093,0.087,-0.268,0.082,Above,
CERT/TRAC_aeglefinus_GB,latest,Melanogrammus,aeglefinus,0.448,0.087,0.274,0.623,Above,
DFO_aeglefinus_4X5Y,1970,Melanogrammus,aeglefinus,0.024,0.162,-0.299,0.348,Above,
DFO_aeglefinus_4X5Y,1980,Melanogrammus,aeglefinus,-0.199,0.101,-0.401,0.003,Below,
DFO_aeglefinus_4X5Y,1990,Melanogrammus,aeglefinus,-0.179,0.090,-0.359,0.001,Above,
DFO_aeglefinus_4X5Y,2000,Melanogrammus,aeglefinus,-0.093,0.087,-0.268,0.082,Below,
DFO_aeglefinus_4X5Y,latest,Melanogrammus,aeglefinus,0.448,0.087,0.274,0.623,Below,
DFO_harengus_4T-fall,1980,Clupea,harengus,-0.199,0.101,-0.401,0.003,Below,
DFO_harengus_4T-fall,1990,Clupea,harengus,-0.179,0.090,-0.359,0.001,Above,
DFO_harengus_4T-fall,2000,Clupea,harengus,-0.093,0.087,-0.268,0.082,Below,
DFO_harengus_4T-fall,latest,Clupea,harengus,0.448,0.087,0.274,0.623,Below,
DFO_harengus_4T-Spring,1980,Clupea,harengus,-0.199,0.101,-0.401,0.003,Below,
DFO_harengus_4T-Spring,1990,Clupea,harengus,-0.179,0.090,-0.359,0.001,Below,
DFO_harengus_4T-Spring,2000,Clupea,harengus,-0.093,0.087,-0.268,0.082,Above,
DFO_harengus_4T-Spring,latest,Clupea,harengus,0.448,0.087,0.274,0.623,Below,
DFO_morhua_2J3KL,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Above,
DFO_morhua_2J3KL,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Below,
DFO_morhua_2J3KL,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
DFO_morhua_3Pn- 4RS,1980,Gadus,morhua,-0.199,0.101,-0.401,0.003,Above,
DFO_morhua_3Pn- 4RS,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Above,
DFO_morhua_3Pn- 4RS,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
DFO_morhua_3Pn- 4RS,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Below,
DFO_morhua_3PS,1960,Gadus,morhua,0.116,0.235,-0.353,0.585,Below,
DFO_morhua_3PS,1970,Gadus,morhua,0.024,0.162,-0.299,0.348,Below,
DFO_morhua_3PS,1980,Gadus,morhua,-0.199,0.101,-0.401,0.003,Below,
DFO_morhua_3PS,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Below,
DFO_morhua_3PS,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
DFO_morhua_3PS,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
DFO_morhua_4T-4VN,1980,Gadus,morhua,-0.199,0.101,-0.401,0.003,Below,
DFO_morhua_4T-4VN,1990,Gadus,morhua,-0.179,0.090,-0.359,0.001,Below,
DFO_morhua_4T-4VN,2000,Gadus,morhua,-0.093,0.087,-0.268,0.082,Above,
DFO_morhua_4T-4VN,latest,Gadus,morhua,0.448,0.087,0.274,0.623,Above,
DFO_platessoides_4T,1980,Hippoglossoides,platessoides,-0.199,0.101,-0.401,0.003,Below,
DFO_platessoides_4T,1990,Hippoglossoides,platessoides,-0.179,0.090,-0.359,0.001,Below,
DFO_platessoides_4T,2000,Hippoglossoides,platessoides,-0.093,0.087,-0.268,0.082,Above,
DFO_platessoides_4T,latest,Hippoglossoides,platessoides,0.448,0.087,0.274,0.623,Above,
ICES-AFWG_aeglefinus_NEA1-2,1960,Melanogrammus,aeglefinus,0.116,0.235,-0.353,0.585,Below,
ICES-AFWG_aeglefinus_NEA1-2,1970,Melanogrammus,aeglefinus,0.024,0.162,-0.299,0.348,Below,
ICES-AFWG_aeglefinus_NEA1-2,1980,Melanogrammus,aeglefinus,-0.199,0.101,-0.401,0.003,Above,
ICES-AFWG_aeglefinus_NEA1-2,1990,Melanogrammus,aeglefinus,-0.179,0.090,-0.359,0.001,Below,
